Country,Code,Year,Not_Comfortable,Continent
Africa,,2020,26.631048,
Albania,ALB,2020,27.573915,Europe
Algeria,DZA,2020,11.403895,Africa
Argentina,ARG,2020,26.33392,South America
Asia,,2020,26.5225,
Australia,AUS,2020,30.768505,Oceania
Austria,AUT,2020,12.19925,Europe
Bahrain,BHR,2020,10.974083,Asia
Bangladesh,BGD,2020,13.897019,Asia
Belgium,BEL,2020,47.4551,Europe
Benin,BEN,2020,49.806866,Africa
Bolivia,BOL,2020,26.741785,South America
Bosnia and Herzegovina,BIH,2020,45.78247,Europe
Brazil,BRA,2020,27.442812,South America
Bulgaria,BGR,2020,30.427782,Europe
Burkina Faso,BFA,2020,32.131737,
Cambodia,KHM,2020,25.787365,Asia
Cameroon,CMR,2020,41.692066,Africa
Canada,CAN,2020,30.16054,North America
Chile,CHL,2020,31.721937,South America
China,CHN,2020,33.000927,Asia
Colombia,COL,2020,31.50998,South America
Congo,COG,2020,33.87431,Africa
Costa Rica,CRI,2020,31.325611,North America
Cote d'Ivoire,CIV,2020,38.2792,
Croatia,HRV,2020,32.441177,Europe
Cyprus,CYP,2020,43.460884,Europe
Czechia,CZE,2020,30.503748,
Denmark,DNK,2020,29.572647,Europe
Dominican Republic,DOM,2020,33.552456,North America
Ecuador,ECU,2020,24.159279,South America
Egypt,EGY,2020,7.0692477,Africa
El Salvador,SLV,2020,30.70151,North America
Estonia,EST,2020,58.77812,Europe
Ethiopia,ETH,2020,18.197817,Africa
Europe,,2020,32.028767,
Finland,FIN,2020,52.43983,Europe
France,FRA,2020,54.558666,Europe
Gabon,GAB,2020,26.249239,Africa
Georgia,GEO,2020,31.122108,Europe
Germany,DEU,2020,9.805233,Europe
Ghana,GHA,2020,46.048683,Africa
Greece,GRC,2020,50.022278,Europe
Guinea,GIN,2020,38.012028,Africa
High-income countries,,2020,33.974895,
Hong Kong,HKG,2020,53.083908,
Hungary,HUN,2020,42.20791,Europe
India,IND,2020,16.727356,Asia
Indonesia,IDN,2020,32.622726,Asia
Iran,IRN,2020,14.422836,Asia
Iraq,IRQ,2020,9.31483,Asia
Ireland,IRL,2020,30.653572,Europe
Israel,ISR,2020,30.72087,Asia
Italy,ITA,2020,26.42569,Europe
Japan,JPN,2020,47.1174,Asia
Jordan,JOR,2020,7.025207,Asia
Kazakhstan,KAZ,2020,21.426638,Asia
Kenya,KEN,2020,33.51484,Africa
Kosovo,OWID_KOS,2020,25.293646,
Kyrgyzstan,KGZ,2020,14.115259,Asia
Laos,LAO,2020,13.621325,Asia
Latvia,LVA,2020,44.533005,Europe
Lebanon,LBN,2020,18.080757,Asia
Lithuania,LTU,2020,36.388954,Europe
Low-income countries,,2020,22.40241,
Lower-middle-income countries,,2020,21.386637,
Malaysia,MYS,2020,39.284344,Asia
Mali,MLI,2020,21.150087,Africa
Malta,MLT,2020,44.14287,Europe
Mauritius,MUS,2020,25.509037,Africa
Mexico,MEX,2020,32.218464,North America
Moldova,MDA,2020,39.16549,Europe
Mongolia,MNG,2020,28.71708,Asia
Montenegro,MNE,2020,41.023323,Europe
Morocco,MAR,2020,5.833535,Africa
Myanmar,MMR,2020,18.533594,
Namibia,NAM,2020,53.880024,Africa
Nepal,NPL,2020,12.812736,Asia
Netherlands,NLD,2020,25.402487,Europe
New Zealand,NZL,2020,31.254427,Oceania
Nicaragua,NIC,2020,28.99789,North America
Nigeria,NGA,2020,40.30393,Africa
North America,,2020,33.293205,
North Macedonia,MKD,2020,39.874588,
Norway,NOR,2020,37.7292,Europe
Oceania,,2020,30.847002,
Paraguay,PRY,2020,33.63717,South America
Peru,PER,2020,22.786009,South America
Philippines,PHL,2020,28.513657,Asia
Poland,POL,2020,35.20891,Europe
Portugal,PRT,2020,34.1866,Europe
Romania,ROU,2020,34.389545,Europe
Russia,RUS,2020,35.713253,
Saudi Arabia,SAU,2020,7.458618,Asia
Senegal,SEN,2020,41.060318,Africa
Serbia,SRB,2020,36.863403,Europe
Slovakia,SVK,2020,20.47535,Europe
Slovenia,SVN,2020,30.920343,Europe
South Africa,ZAF,2020,35.613506,Africa
South America,,2020,28.78697,
South Korea,KOR,2020,44.512325,
Spain,ESP,2020,34.194344,Europe
Sri Lanka,LKA,2020,14.853881,Asia
Sweden,SWE,2020,21.397581,Europe
Switzerland,CHE,2020,17.23282,Europe
Taiwan,TWN,2020,52.578594,
Tanzania,TZA,2020,17.96401,Africa
Thailand,THA,2020,21.170624,Asia
Tunisia,TUN,2020,9.067545,Africa
Turkey,TUR,2020,42.998055,Asia
Uganda,UGA,2020,25.484604,Africa
Ukraine,UKR,2020,33.81334,Europe
United Arab Emirates,ARE,2020,17.135777,Asia
United Kingdom,GBR,2020,27.629341,Europe
United States,USA,2020,34.183014,
Upper-middle-income countries,,2020,31.974173,
Uruguay,URY,2020,33.311874,South America
Uzbekistan,UZB,2020,14.763067,Asia
Venezuela,VEN,2020,44.813244,South America
Vietnam,VNM,2020,35.320984,Asia
World,OWID_WRL,2020,27.904293,
Zambia,ZMB,2020,37.58758,Africa
Zimbabwe,ZWE,2020,14.606491,Africa
